rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 1.93164e-05 | prob: 0.9 = recall: 0.114 - cost: 0.0027168 - time: 0.1
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.000597515 | prob: 0.9 = recall: 0.591 - cost: 0.261539 - time: 1.77
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.00117571 | prob: 0.9 = recall: 0.733 - cost: 0.329264 - time: 2.24
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.00175391 | prob: 0.9 = recall: 0.82 - cost: 0.382877 - time: 2.61
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.00233211 | prob: 0.9 = recall: 0.859 - cost: 0.424915 - time: 2.88
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.00291031 | prob: 0.9 = recall: 0.906 - cost: 0.528531 - time: 3.66
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.00348851 | prob: 0.9 = recall: 0.897 - cost: 0.554582 - time: 4.14
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.0040667 | prob: 0.9 = recall: 0.949 - cost: 0.604128 - time: 5.27
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.0046449 | prob: 0.9 = recall: 0.941 - cost: 0.692074 - time: 6.52
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.0052231 | prob: 0.9 = recall: 0.966 - cost: 0.669462 - time: 6.32
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.0058013 | prob: 0.9 = recall: 0.988 - cost: 0.807126 - time: 7.29
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 1.93164e-05 | prob: 0.9 = recall: 0.11 - cost: 0.0023232 - time: 0.12
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.000521615 | prob: 0.9 = recall: 0.508 - cost: 0.204995 - time: 1.37
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00102391 | prob: 0.9 = recall: 0.672 - cost: 0.312435 - time: 2.11
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00152621 | prob: 0.9 = recall: 0.744 - cost: 0.341706 - time: 2.34
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00202851 | prob: 0.9 = recall: 0.822 - cost: 0.378278 - time: 2.54
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00253081 | prob: 0.9 = recall: 0.867 - cost: 0.435958 - time: 2.93
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00303311 | prob: 0.9 = recall: 0.892 - cost: 0.479194 - time: 3.2
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.0035354 | prob: 0.9 = recall: 0.912 - cost: 0.51912 - time: 3.58
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.0040377 | prob: 0.9 = recall: 0.924 - cost: 0.572432 - time: 4.43
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00454 | prob: 0.9 = recall: 0.939 - cost: 0.664874 - time: 6.04
