rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 1.93164e-05 | prob: 0.9 = recall: 0.189 - cost: 0.016736 - time: 0.07
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.000597515 | prob: 0.9 = recall: 0.771 - cost: 0.376733 - time: 0.98
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.00117571 | prob: 0.9 = recall: 0.851 - cost: 0.40919 - time: 1.06
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.00175391 | prob: 0.9 = recall: 0.9 - cost: 0.432269 - time: 1.13
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.00233211 | prob: 0.9 = recall: 0.928 - cost: 0.587139 - time: 1.66
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.00291031 | prob: 0.9 = recall: 0.946 - cost: 0.524458 - time: 1.39
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.00348851 | prob: 0.9 = recall: 0.953 - cost: 0.578688 - time: 1.6
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.0040667 | prob: 0.9 = recall: 0.976 - cost: 0.692045 - time: 1.96
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.0046449 | prob: 0.9 = recall: 0.98 - cost: 0.704893 - time: 1.98
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.0052231 | prob: 0.9 = recall: 0.994 - cost: 0.782 - time: 2.18
rows: 3125 | top_k: 10 | checks: 3125 | K: 18 | W: 0.0058013 | prob: 0.9 = recall: 0.979 - cost: 0.601299 - time: 1.67
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 1.93164e-05 | prob: 0.9 = recall: 0.179 - cost: 0.0134112 - time: 0.06
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.000521615 | prob: 0.9 = recall: 0.731 - cost: 0.281898 - time: 0.74
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00102391 | prob: 0.9 = recall: 0.814 - cost: 0.372102 - time: 0.97
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00152621 | prob: 0.9 = recall: 0.854 - cost: 0.458221 - time: 1.22
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00202851 | prob: 0.9 = recall: 0.936 - cost: 0.58041 - time: 1.62
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00253081 | prob: 0.9 = recall: 0.921 - cost: 0.437504 - time: 1.17
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00303311 | prob: 0.9 = recall: 0.965 - cost: 0.676938 - time: 1.89
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.0035354 | prob: 0.9 = recall: 0.964 - cost: 0.673475 - time: 1.91
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.0040377 | prob: 0.9 = recall: 0.984 - cost: 0.763946 - time: 2.17
rows: 3125 | top_k: 10 | checks: 3125 | K: 20 | W: 0.00454 | prob: 0.9 = recall: 0.978 - cost: 0.746314 - time: 2.1
